date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small
2024-06-01T00:00:00,2460462.5,nan,-28.322,-17.191,0.383,11.131,6.689,0.029,6.719,17.409,0.277,0.106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-02T00:00:00,2460463.5,nan,-29.396,-16.899,0.269,12.496,6.941,0.04,6.981,18.323,0.271,-0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-03T00:00:00,2460464.5,nan,-33.202,-20.122,0.245,13.08,7.113,0.034,7.147,18.386,0.281,-0.036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-04T00:00:00,2460465.5,nan,-35.484,-23.121,0.347,12.363,6.935,0.033,6.968,18.036,0.36,-0.013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-05T00:00:00,2460466.5,nan,-29.366,-17.538,0.171,11.828,6.467,0.031,6.497,17.062,0.195,-0.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-06T00:00:00,2460467.5,nan,-22.887,-12.835,-0.055,10.052,6.134,0.028,6.162,16.294,0.008,-0.063,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-07T00:00:00,2460468.5,nan,-22.899,-14.268,-0.104,8.631,5.961,0.025,5.986,15.445,-0.028,-0.077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-08T00:00:00,2460469.5,nan,-24.744,-16.804,0.094,7.94,5.935,0.025,5.96,15.146,0.142,-0.048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-09T00:00:00,2460470.5,nan,-24.393,-15.386,0.132,9.007,5.927,0.02,5.947,15.012,0.115,0.017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-10T00:00:00,2460471.5,nan,-25.131,-14.639,-0.077,10.492,6.188,0.016,6.203,15.38,-0.115,0.039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-11T00:00:00,2460472.5,nan,-27.868,-15.684,-0.003,12.183,6.442,0.016,6.458,15.968,-0.035,0.032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-12T00:00:00,2460473.5,nan,-28.931,-15.538,0.051,13.392,6.619,0.016,6.635,16.393,0.04,0.011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-28T00:00:00,2460489.5,nan,-28.012,-13.752,-0.19,14.26,8.157,0.041,8.199,19.28,-0.188,-0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-12T00:00:00,2460473.5,nan,-28.931,-15.538,0.051,13.392,6.619,0.016,6.635,16.393,0.04,0.011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-13T00:00:00,2460474.5,nan,-31.812,-17.966,0.057,13.846,6.996,0.017,7.013,17.061,0.027,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-14T00:00:00,2460475.5,nan,-30.848,-17.791,0.523,13.057,7.158,0.031,7.188,17.514,0.359,0.164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-15T00:00:00,2460476.5,nan,-31.127,-17.332,0.921,13.795,7.264,0.045,7.309,17.775,0.704,0.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-16T00:00:00,2460477.5,nan,-27.632,-14.84,0.993,12.793,7.054,0.054,7.108,17.581,0.827,0.166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-17T00:00:00,2460478.5,nan,-30.316,-17.946,0.647,12.37,6.689,0.054,6.743,17.237,0.591,0.056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-18T00:00:00,2460479.5,nan,-33.448,-22.183,0.114,11.265,6.29,0.06,6.349,16.742,0.234,-0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-19T00:00:00,2460480.5,nan,-28.695,-18.504,-0.555,10.191,5.841,0.064,5.905,16.173,-0.266,-0.289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-20T00:00:00,2460481.5,nan,-27.511,-19.88,-1.392,7.631,5.462,0.075,5.537,15.773,-0.908,-0.484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-21T00:00:00,2460482.5,nan,-19.195,-13.555,-1.494,5.64,5.321,0.077,5.398,15.07,-0.977,-0.517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024-06-22T00:00:00,2460483.5,nan,-18.807,-13.458,-0.82,5.348,5.059,0.057,5.116,14.175,-0.501,-0.318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
