lambda (nm) & element & EP (eV) & depth & deltazeff (km) & I_l & D_l & I_l/2 & D_l/2 & I_c \\
670.77  &   Li I    &    0.00 &   .010& 109 &   -0.147&   -1.180 &  -0.146&  -1.132&  -0.144   \\
313.10  &   Be II   &    0.00 &  .720 & 129 &   -0.193&    -1.238&    0.098&  -0.772&  0.181   \\
481.73  &   C I     &    7.48 &  .138 &  60 &   -0.139&   -0.253 &  -0.051 &  -0.139&   0.047   \\
505.21  &   C I     &    7.68 &  .252 &  63 &   -0.361&   -0.411 &  -0.180 &  -0.207&   0.015   \\
538.03  &   C I     &     7.68&   .158&   62&   -0.274&   -0.337 &  -0.157 &  -0.193&   -0.025  \\
658.76  &   C I     &     8.53&   .083&   59&   -0.307&   -0.299 &  -0.230 &  -0.179&   -0.136  \\
711.31  &   C I     &     8.64&  .118 &  60 &   -0.430&   -0.395 &  -0.314 &  -0.236&   -0.169  \\
833.51  &   C I     &     7.68&   .355&   78&   -1.084&   -1.095 &  -0.638 &  -0.547&   -0.206  \\
960.30  &   C I     &     7.48&   .280&   77&   -0.936&   -0.942 &  -0.585 &  -0.523&   -0.215  \\
868.33  &   N I     &   10.33 &  .041 &  48 &  -0.354 &  -0.179  & -0.292  & -0.080 &  -0.212  \\
939.28  &   N I     &   10.69 &  .050 &  46 &  -0.397 &  -0.204  & -0.319  & -0.089 &  -0.216  \\
615.67  &   O I     &   10.74 &  .039 &  42 &  -0.203 &  -0.053  & -0.160  & 0.032  & -0.104   \\
615.81  &   O I     &   10.74 &  .028 &  42 &  -0.180 &  -0.028  & -0.147  & 0.048  & -0.104   \\
630.03  &   O I     &     0.00&   .038&   134&  -0.128&   -1.264 &  -0.122 & -1.199 &  -0.115  \\
777.53  &   O I     &     9.14&   .249&   63&   -0.789&   -0.690 &  -0.524 &  -0.380&   -0.199 \\
475.18  &   Na I    &    2.10 &  .128 &  98 &   0.008 &  -0.872  &   0.029& -0.727  &  0.057 \\
615.42  &   Na I    &    2.10 &  .289 &  100&  -0.372 &  -1.105  & -0.219  & -0.874 &  -0.104  \\
616.07  &   Na I    &    2.10 &  .428 &  100&  -0.673 &  -1.313  & -0.297  & -0.907 &  -0.104  \\
996.12  &   Na I    &    3.62 &  .036 &  96 &   -0.241&   -0.952 &  -0.231 &  -0.732&   -0.211 \\
473.00  &   Mg I    &    4.34 &  .534 &  101&  -0.442 &  -1.244  & -0.104  & -0.809 &  0.060   \\
571.10  &   Mg I    &    4.34 &  .678 &  91 &   -1.814&   -2.121 &  -0.423 &  -0.882&   -0.061 \\
631.92  &   Mg I    &    5.11 &  .192 &  98 &   -0.277&   -0.977 &  -0.198 &  -0.785&   -0.117 \\
765.76  &   Mg I    &    5.11 &  .496 &  92 &   -1.488&   -1.805 &  -0.577 &  -0.917&   -0.194 \\
847.36  &   Mg I    &    5.93 &  .054 &  96 &   -0.249&   -0.971 &  -0.235 &  -0.748&   -0.209 \\
871.77  &   Mg I    &    5.93 &  .323 &  97 &   -0.766&   -1.313 &  -0.470 &  -0.795&   -0.213 \\
892.35  &   Mg I    &    5.94 &  .280 &  97 &   -0.655&   -1.229 &  -0.431 &  -0.791&   -0.215 \\
787.70  &   Mg II   &  10.00  & .093  & 51  &   -0.472&   -0.329 &  -0.356 &  -0.177&   -0.202 \\
789.63  &   Mg II   &  10.00  & .131  & 53  &   -0.564&   -0.418 &  -0.411 &  -0.229&   -0.203 \\
669.60  &   Al I    &    3.14 & .263 &  99 &  -0.424 &  -1.112 &  -0.266  & -0.876 &  -0.143 \\
669.86  &   Al I    &   3.14  & .156 &  99 &  -0.277 &  -0.993 &  -0.210  & -0.844 &  -0.144 \\
708.46  &   Al I    &   4.02  & .081 &  97 &  -0.214 &  -1.017 &  -0.198  & -0.776 &  -0.168 \\
783.60  &   Al I    &    4.02 & .287 &  97 &  -0.602 &  -1.200 &  -0.390  & -0.819 &  -0.201 \\
877.39  &   Al I    &   4.02  & .400 &  93 &  -1.188 &  -1.556 &  -0.573  & -0.855 &  -0.213 \\
551.75  &   Si I    &   5.08  & .119 &  96 &  -0.119 &  -0.829 &  -0.082  & -0.709 &  -0.041 \\
564.56  &   Si I    &   4.93  & .300 &  99 &  -0.334 &  -1.017 &  -0.174  & -0.784 &  -0.054 \\
594.89  &   Si I    &   5.08  & .577 &  96 &  -1.320 &  -1.680 &  -0.423  & -0.829 &  -0.085 \\
672.18  &   Si I    &   5.86  & .269 &  96 &  -0.470 &  -1.036 &  -0.301  & -0.733 &  -0.145 \\
684.85  &   Si I    &   5.86  & .114 &  94 &  -0.258 &  -0.868 &  -0.212  & -0.699 &  -0.154 \\
703.49  &   Si I    &   5.87  & .403 &  96 &  -0.907 &  -1.317 &  -0.455  & -0.779 &  -0.165 \\
793.23  &   Si I    &   5.96  & .454 &  93 &  -1.362 &  -1.651 &  -0.616  & -0.817 &  -0.204 \\
803.56  &   Si I    &   5.98  & .158 &  95 &  -0.412 &  -0.949 &  -0.312  & -0.743 &  -0.207 \\
859.59  &   Si I    &   6.19  & .226 &  95 &  -0.578 &  -1.058 &  -0.390  & -0.743 &  -0.211 \\
875.20  &   Si I    &   5.87  & .476 &  91 &  -1.678 &  -1.927 &  -0.701  & -0.848 &  -0.213 \\
597.88  &   Si II   &  10.07  & .043 &  42 &  -0.200 &  -0.062 &  -0.150  & 0.018  & -0.088  \\
634.70  &   Si II   &   8.09 &  .304&   63&   -0.755&   -0.677&   -0.454 &  -0.347&   -0.119 \\
605.26  &   S I     &   7.87  & .058 &  66 &  -0.186 &  -0.342 &  -0.148  & -0.208 &  -0.095 \\
768.61  &   S I     &   7.87  & .031 &  67 &  -0.265 &  -0.351 &  -0.234  & -0.260 &  -0.195 \\
845.20  &   S I     &   8.04  & .029 &  66 &  -0.282 &  -0.341 &  -0.249  & -0.244 &  -0.208 \\
869.39  &   S I     &   7.87  & .064 &  68 &  -0.379 &  -0.427 &  -0.304  & -0.298 &  -0.212 \\
869.46  &   S I     &   7.87  & .164 &  72 &  -0.629 &  -0.641 &  -0.439  & -0.395 &  -0.212 \\
693.87  &   K I     &   1.62  & .032&   97 &   -0.184&   -0.896&   -0.173 &  -0.806&   -0.159 \\
769.89  &   K I     &   0.00  & .837 &  59 &  -5.935 &  -5.948 &  -1.141  & -1.224 &  -0.196 \\
450.73  &   Ca I    &   2.52  & .101 & 101 &   0.060 &  -0.907  & 0.076  & -0.806  & 0.094   \\
451.22  &   Ca I    &   2.52  & .274 & 103 &  -0.026 &  -1.016  & 0.037  & -0.838  & 0.093   \\
468.52  &   Ca I    &   2.93  & .576 & 101 &  -0.563 &  -1.380  & -0.115 &  -0.819 &  0.067  \\
616.64  &   Ca I    &   2.52  & .582 &   96&   -1.495&   -1.918 &  -0.379&   -1.012&   -0.105 \\
641.76  &   Ca I    &   4.44  & .090 &   94&   -0.200&   -0.841 &  -0.167&   -0.697&   -0.124 \\
646.46  &   Ca I    &   2.52  & .113 & 102 &  -0.200 &  -1.052  & -0.164 &  -0.949 &  -0.127  \\
657.27  &   Ca I    &   0.00  & .290 & 115 &  -0.294 &  -1.537  & -0.194 &  -1.333 &  -0.135  \\
863.39  &   Ca I    &   4.45  & .088 &   99&   -0.275&   -1.080 &  -0.254&   -0.800&   -0.212 \\
390.00  &   Ca II   &   0.00  & .117 &  131&   0.178 &  -1.141  &  0.187 &  -1.055 &   0.197  \\
500.14  &   Ca II   &    7.50 &  .117&   63&   -0.142&   -0.305 &  -0.070&   -0.167&   0.022  \\
533.92  &   Ca II   &    8.44 &  .067&   60&   -0.107&   -0.282 &  -0.075&   -0.120&   -0.021 \\
824.88  &   Ca II   &    7.51 &  .306&   79&   -0.979&   -1.009 &  -0.598&   -0.527&   -0.204 \\
825.47  &   Ca II   &    7.51 &  .095&   71&   -0.441&   -0.501 &  -0.334&   -0.343&   -0.204 \\
891.20  &   Ca II   &   7.05  &  .448&   88&   -1.651&   -1.782 &  -0.799&   -0.687&   -0.215 \\
985.47  &   Ca II   &   7.50  &  .114&   73&   -0.531&   -0.578 &  -0.385&   -0.381&   -0.212 \\
989.07  &   Na II   &   8.44  & .232 &    72&   -0.866&   -0.837&   -0.574&   -0.440 &  -0.212 \\
402.36  &   Sc I    &   0.02  & .674 &  117&   -0.165&   -1.841 &  0.119 &  -1.283 &  0.175   \\
474.38  &   Sc I    &   1.45  & .076 &  108&    0.039&   -1.105 &  0.048 &  -1.037 &  0.058   \\
567.18  &   Sc I    &   1.45  & .110 &  109&   -0.098&   -1.192 &  -0.077&   -1.109&   -0.057 \\
568.68  &   Sc I    &   1.44  & .085 &  109&   -0.089&   -1.178 &  -0.074&   -1.105&   -0.059 \\
623.93  &   Sc I    &   0.00  & .063 &  115&   -0.128&   -1.381 &  -0.119&   -1.321&   -0.110 \\
442.06  &   Sc II   &    0.62 &  .201&   128 &  0.045&   -1.148 &    0.078&   -1.022&   0.108 \\
467.04  &   Sc II   &    1.36 &  .673&   129 &  -1.100&   -1.918&   -0.121&   -1.005&   0.069 \\
